Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-12-31 16:00:00,28782.01,28822.59,28555.0,28641.22,1393.081171,2020-12-31 16:29:59.999,39955640.24077772,38242,628.99404900,18044616.68734505,0
2020-12-31 16:30:00,28641.23,28694.71,28311.0,28380.6,1577.300235,2020-12-31 16:59:59.999,44934329.60472255,40147,714.57670800,20355426.74074849,0
2020-12-31 17:00:00,28382.47,28685.0,28362.0,28644.3,1376.203817,2020-12-31 17:29:59.999,39276080.58831580,26520,642.29036600,18324980.31377492,0
2020-12-31 17:30:00,28644.3,28723.68,28520.0,28571.97,1059.353171,2020-12-31 17:59:59.999,30327972.30440216,22512,534.65821600,15308088.58501806,0
2020-12-31 18:00:00,28571.97,28758.15,28424.56,28749.0,1184.013792,2020-12-31 18:29:59.999,33911606.78381555,23145,553.45493400,15859724.12435051,0
2020-12-31 18:30:00,28749.0,28898.0,28724.82,28872.25,1395.405616,2020-12-31 18:59:59.999,40184349.70325139,24988,754.72745300,21741434.46059705,0
2020-12-31 19:00:00,28872.24,28943.92,28742.41,28926.39,1146.815919,2020-12-31 19:29:59.999,33091799.73760091,29355,715.05402300,20634258.23246295,0
2020-12-31 19:30:00,28926.39,29000.0,28860.92,28897.83,1147.00542,2020-12-31 19:59:59.999,33197433.42657179,27434,699.20281100,20239426.26954379,0
2020-12-31 20:00:00,28897.84,28989.97,28862.0,28886.6,702.346884,2020-12-31 20:29:59.999,20310602.58046628,18917,376.14517700,10877379.73440061,0
2020-12-31 20:30:00,28887.39,29139.65,28872.23,29126.7,1234.133415,2020-12-31 20:59:59.999,35792698.96157406,23184,754.34610500,21882031.58507727,0
2020-12-31 21:00:00,29126.71,29145.0,28900.79,29094.71,1308.520552,2020-12-31 21:29:59.999,38010993.67043323,26928,505.85353300,14694201.08129435,0
2020-12-31 21:30:00,29094.71,29169.55,28950.1,28966.36,1215.952559,2020-12-31 21:59:59.999,35340469.27407766,24369,504.03902600,14657283.05205374,0
2020-12-31 22:00:00,28966.36,29109.97,28910.19,29062.91,817.583179,2020-12-31 22:29:59.999,23733532.93171605,17245,312.28105900,9065360.56167020,0
2020-12-31 22:30:00,29062.91,29143.73,29045.75,29100.84,620.923147,2020-12-31 22:59:59.999,18073589.95827440,19168,332.75252700,9685216.98583612,0
2020-12-31 23:00:00,29100.83,29110.35,28925.0,29002.88,770.016345,2020-12-31 23:29:59.999,22351227.86888182,20814,379.55389400,11016212.73094044,0
2020-12-31 23:30:00,29002.88,29003.16,28780.0,28923.63,1206.402954,2020-12-31 23:59:59.999,34891812.19784107,25351,526.62715800,15229942.27760735,0
2021-01-01 00:00:00,28923.63,29017.5,28690.17,28836.63,1320.688748,2021-01-01 00:29:59.999,38086677.74789903,33194,629.67220200,18158171.97941198,0
2021-01-01 00:30:00,28836.63,29031.34,28836.62,28995.13,991.122697,2021-01-01 00:59:59.999,28682152.59220105,25195,585.68703600,16945370.80347078,0
2021-01-01 01:00:00,28995.13,29417.87,28960.35,29385.39,3449.118444,2021-01-01 01:29:59.999,100932550.97962961,62279,2087.27517600,61080210.83420632,0
2021-01-01 01:30:00,29387.07,29470.0,29311.75,29409.99,1953.950027,2021-01-01 01:59:59.999,57425265.83842761,41617,1072.76652500,31533781.10134661,0
2021-01-01 02:00:00,29410.0,29465.26,29201.78,29298.86,1244.624776,2021-01-01 02:29:59.999,36519996.52288238,29938,626.33023100,18376732.28183821,0
2021-01-01 02:30:00,29298.87,29341.21,29120.03,29194.65,1139.606784,2021-01-01 02:59:59.999,33322657.15053792,27708,577.10327500,16876017.62648785,0
2021-01-01 03:00:00,29195.25,29311.0,29150.02,29215.84,692.388143,2021-01-01 03:29:59.999,20248681.66567074,20311,374.40714400,10950206.81968481,0
2021-01-01 03:30:00,29216.03,29367.0,29190.83,29278.4,768.956934,2021-01-01 03:59:59.999,22512095.05984572,22199,401.50852200,11755341.16339496,0
2021-01-01 04:00:00,29278.41,29395.0,29278.4,29332.81,871.915339,2021-01-01 04:29:59.999,25579599.16925479,24623,426.40356700,12509152.21748463,0
