Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-12-31 16:00:00,736.0,743.0,724.48,737.2,86740.19004,2020-12-31 17:59:59.999,63683593.51533280,55503,46231.96454000,33948266.94342750,0
2020-12-31 18:00:00,737.2,742.0,735.28,738.83,33604.36224,2020-12-31 19:59:59.999,24829312.88835440,25957,16755.67784000,12380988.81024070,0
2020-12-31 20:00:00,738.76,745.0,736.52,738.24,33190.58496,2020-12-31 21:59:59.999,24574749.04431460,43224,18208.20587000,13483047.25366190,0
2020-12-31 22:00:00,738.23,742.5,731.83,736.42,30825.68725,2020-12-31 23:59:59.999,22762840.46482790,27679,15405.75685000,11377521.07378150,0
2021-01-01 00:00:00,736.42,749.0,729.33,748.28,80268.88663,2021-01-01 01:59:59.999,59379522.32904940,64383,42416.51933000,31378292.90571760,0
2021-01-01 02:00:00,748.27,749.0,742.27,744.82,50624.30959,2021-01-01 03:59:59.999,37725814.83878090,31796,27221.01616000,20287049.66295890,0
2021-01-01 04:00:00,744.87,747.09,739.3,740.65,33742.41871,2021-01-01 05:59:59.999,25059541.21049520,24658,17866.88373000,13270972.70266460,0
2021-01-01 06:00:00,740.72,743.25,734.4,737.38,38731.6844,2021-01-01 07:59:59.999,28593176.32682340,32017,18210.92529000,13445522.51152750,0
2021-01-01 08:00:00,737.37,738.48,725.1,733.68,75828.51865,2021-01-01 09:59:59.999,55445164.86094990,65780,35536.07284000,25987389.66643210,0
2021-01-01 10:00:00,733.69,741.76,733.27,738.85,52279.69582,2021-01-01 11:59:59.999,38569077.67708700,32137,26607.42373000,19629825.03621630,0
2021-01-01 12:00:00,738.85,743.33,732.12,740.08,73734.0359,2021-01-01 13:59:59.999,54417139.87980370,46325,40581.57363000,29956073.22319580,0
2021-01-01 14:00:00,740.08,742.67,733.5,735.39,47769.98594,2021-01-01 15:59:59.999,35246597.69941910,37922,25296.84605000,18672507.97195000,0
2021-01-01 16:00:00,735.39,737.73,726.57,727.94,63163.6071,2021-01-01 17:59:59.999,46271566.11079530,40195,29655.53222000,21734923.07082920,0
2021-01-01 18:00:00,727.94,731.8,714.29,725.34,93294.11217,2021-01-01 19:59:59.999,67526665.90525070,60272,42321.53209000,30639796.31062650,0
2021-01-01 20:00:00,725.34,730.71,722.5,728.23,37004.44434,2021-01-01 21:59:59.999,26935857.20731800,26895,19392.13653000,14117840.18655930,0
2021-01-01 22:00:00,728.23,731.97,725.65,728.91,28672.39404,2021-01-01 23:59:59.999,20901919.73163480,21291,13882.06998000,10120180.69000610,0
2021-01-02 00:00:00,728.91,731.75,714.91,729.38,84175.63554,2021-01-02 01:59:59.999,60866912.53682580,52349,43940.74939000,31790917.32737690,0
2021-01-02 02:00:00,729.39,734.4,728.4,730.39,35008.81406,2021-01-02 03:59:59.999,25596854.13017440,22816,17519.28700000,12809450.57682100,0
2021-01-02 04:00:00,730.39,733.4,726.26,731.99,32460.56248,2021-01-02 05:59:59.999,23706798.08617700,21214,16153.83827000,11798810.79298220,0
2021-01-02 06:00:00,731.99,740.49,730.53,735.12,65477.71465,2021-01-02 07:59:59.999,48161818.36397210,36669,34720.56340000,25545495.82157120,0
2021-01-02 08:00:00,735.12,738.35,723.06,725.41,71601.88016,2021-01-02 09:59:59.999,52366189.00717640,41110,34017.63589000,24880249.90476140,0
2021-01-02 10:00:00,725.24,733.93,723.01,729.7,48662.85093,2021-01-02 11:59:59.999,35465783.87776960,42992,25626.23522000,18672632.77936410,0
2021-01-02 12:00:00,729.7,772.8,728.25,770.77,288126.57697,2021-01-02 13:59:59.999,217429636.40059040,157515,158224.00302000,119362250.43909160,0
2021-01-02 14:00:00,770.77,771.28,753.0,768.43,140321.88145,2021-01-02 15:59:59.999,106939302.49075560,91535,68611.84473000,52292845.54471550,0
2021-01-02 16:00:00,768.45,784.66,764.5,778.84,220079.89897,2021-01-02 17:59:59.999,170618531.22527430,112768,113539.72221000,88039441.63286750,0
2021-01-02 18:00:00,778.77,787.69,772.0,784.79,114317.09343,2021-01-02 19:59:59.999,89294764.87210470,70735,56453.42841000,44090283.95744080,0
2021-01-02 20:00:00,784.79,785.48,750.12,768.95,192482.96271,2021-01-02 21:59:59.999,147781815.69220900,118511,88411.67784000,67890092.00725170,0
2021-01-02 22:00:00,768.94,777.73,762.98,774.56,59902.70533,2021-01-02 23:59:59.999,46243775.92905770,55920,29455.74804000,22743356.22724160,0
2021-01-03 00:00:00,774.44,779.0,770.59,776.97,62497.22876,2021-01-03 01:59:59.999,48478505.30049180,46756,30952.15950000,24010528.27009590,0
2021-01-03 02:00:00,776.98,781.59,771.47,772.37,51812.15107,2021-01-03 03:59:59.999,40246521.36945390,36698,24310.18716000,18887226.62148780,0
2021-01-03 04:00:00,772.44,790.0,768.71,786.42,115932.67985,2021-01-03 05:59:59.999,90663681.98600500,74363,59138.45496000,46262984.96281490,0
2021-01-03 06:00:00,786.48,805.74,783.73,799.78,169479.30772,2021-01-03 07:59:59.999,135400110.55654050,92719,91506.86039000,73111116.70579170,0
2021-01-03 08:00:00,799.74,825.66,791.5,818.45,187314.82446,2021-01-03 09:59:59.999,152150460.16660060,123215,95731.96874000,77749156.69398020,0
2021-01-03 10:00:00,818.5,832.3,816.49,829.76,146973.56972,2021-01-03 11:59:59.999,121330942.98196440,98050,78460.21702000,64786197.94043030,0
2021-01-03 12:00:00,829.77,888.33,826.38,874.21,236200.24496,2021-01-03 13:59:59.999,202128394.90557380,136710,124825.29212000,106756456.65161040,0
2021-01-03 14:00:00,874.17,921.73,862.3,917.72,461894.9792,2021-01-03 15:59:59.999,416398886.28358920,239349,236650.54669000,213342084.66051370,0
2021-01-03 16:00:00,917.95,978.0,917.0,935.54,542617.90122,2021-01-03 17:59:59.999,514907803.91360880,271554,263627.49950000,250172686.55700640,0
2021-01-03 18:00:00,935.65,941.93,888.93,921.53,262422.49789,2021-01-03 19:59:59.999,239968857.16220590,167593,124229.03833000,113613012.95319280,0
2021-01-03 20:00:00,921.61,964.33,920.08,949.77,205700.98742,2021-01-03 21:59:59.999,194876793.95083150,137056,104576.35081000,99082627.66107920,0
2021-01-03 22:00:00,949.87,1011.07,945.15,978.28,370757.51388,2021-01-03 23:59:59.999,365860901.15474430,212438,205019.22364000,202492195.91514550,0
2021-01-04 00:00:00,978.33,994.56,954.22,966.96,226764.91528,2021-01-04 01:59:59.999,220321803.65226830,177101,111737.10927000,108600139.46947830,0
2021-01-04 02:00:00,966.96,1025.81,962.2,1021.41,205858.94587,2021-01-04 03:59:59.999,203881973.80754130,126318,115905.64314000,114771429.51713580,0
2021-01-04 04:00:00,1021.41,1096.0,1013.75,1084.18,347130.44613,2021-01-04 05:59:59.999,362886313.55194670,221861,181333.38853000,189331887.83555760,0
2021-01-04 06:00:00,1084.45,1162.97,1012.0,1044.31,649419.60806,2021-01-04 07:59:59.999,710015880.36825350,351976,331137.35216000,362407760.18190890,0
2021-01-04 08:00:00,1044.3,1078.93,909.0,970.08,650494.4741,2021-01-04 09:59:59.999,647107435.95661400,321706,315825.43702000,314737465.96821030,0
2021-01-04 10:00:00,969.94,985.0,890.0,976.8,525616.91336,2021-01-04 11:59:59.999,497197481.80744610,276937,258856.57058000,245073456.71280570,0
2021-01-04 12:00:00,976.97,1031.85,956.12,1011.92,429080.13039,2021-01-04 13:59:59.999,427447458.33380360,231577,213413.06370000,212602207.82090160,0
2021-01-04 14:00:00,1012.56,1058.16,1001.55,1040.01,386265.68393,2021-01-04 15:59:59.999,398439430.96264450,194930,179667.01423000,185336824.47844420,0
2021-01-04 16:00:00,1040.0,1048.0,982.05,999.47,365779.00614,2021-01-04 17:59:59.999,367552212.26759160,217423,180733.55238000,181666720.16006840,0
2021-01-04 18:00:00,999.47,1048.0,998.92,1042.28,175217.2398,2021-01-04 19:59:59.999,179273561.80795150,122972,91747.59359000,93903857.85636670,0
2021-01-04 20:00:00,1042.16,1049.7,992.7,1006.19,168041.91455,2021-01-04 21:59:59.999,171655195.99568500,132657,85397.28127000,87285373.72539560,0
2021-01-04 22:00:00,1006.18,1046.54,1001.09,1041.43,115341.66243,2021-01-04 23:59:59.999,117855454.70785260,102404,60583.66623000,61921895.60291820,0
2021-01-05 00:00:00,1041.45,1134.6,1041.45,1114.52,442105.2548,2021-01-05 01:59:59.999,483835137.09909800,284145,225875.37598000,247145847.96103780,0
2021-01-05 02:00:00,1114.46,1116.72,995.0,1001.76,311687.05114,2021-01-05 03:59:59.999,329750339.17372240,220596,146906.63457000,155647105.91850680,0
2021-01-05 04:00:00,1001.75,1030.81,974.45,989.83,334497.43123,2021-01-05 05:59:59.999,336503925.51925780,236778,163782.03784000,164835205.35545820,0
2021-01-05 06:00:00,989.9,1025.0,979.03,1003.45,190574.05343,2021-01-05 07:59:59.999,191690815.13826170,120285,98226.55441000,98823313.21565440,0
2021-01-05 08:00:00,1003.52,1050.93,1003.51,1035.85,198042.34162,2021-01-05 09:59:59.999,204664614.54545930,137870,101291.56629000,104672465.90024190,0
2021-01-05 10:00:00,1035.85,1043.86,1014.84,1042.21,126491.83227,2021-01-05 11:59:59.999,130457693.13205770,98903,59669.25131000,61544831.86662270,0
2021-01-05 12:00:00,1042.23,1055.0,1020.46,1023.55,125451.03124,2021-01-05 13:59:59.999,130163002.05094530,131211,60851.51450000,63171117.01290840,0
