entry_type,exit_reason,entry_price,exit_price,entry_time,exit_time,qty,pnl,net,balance
short,stop_loss,69158.0,69503.99600493905,2024-06-03 17:00:00,2024-06-03 20:30:00,0.289,-99.9928,-116.0022,1883.9978
long,stop_loss,67713.0,67335.57997061124,2024-06-11 14:45:00,2024-06-11 16:15:00,0.2951,-111.3767,-127.3401,1756.6578
long,stop_loss,67450.4,67006.5349980659,2024-06-11 16:30:00,2024-06-11 17:45:00,0.2963,-131.5172,-147.4793,1609.1784
short,take_profit,67352.0,67034.32694568443,2024-06-12 07:30:00,2024-06-12 09:15:00,0.2967,94.2536,78.2858,1687.4642
short,take_profit,67065.7,66748.54769148507,2024-06-14 20:45:00,2024-06-14 22:15:00,0.298,94.5114,78.5418,1766.006
short,take_profit,66309.6,66096.93784815022,2024-06-15 14:30:00,2024-06-15 15:30:00,0.3014,64.0964,48.1206,1814.1267
short,stop_loss,58356.2,58713.810800631225,2024-07-05 05:45:00,2024-07-05 06:00:00,0.3425,-122.4817,-138.4958,1675.6309
short,take_profit,58736.8,58328.716177157985,2024-07-14 00:30:00,2024-07-14 06:15:00,0.3402,138.8301,122.8721,1798.5029
long,take_profit,61192.1,62158.720648701674,2024-08-03 09:30:00,2024-08-03 20:15:00,0.3266,315.6983,299.6469,2098.1498
short,take_profit,58390.0,57910.57264601516,2024-08-16 18:15:00,2024-08-16 20:30:00,0.3423,164.108,148.1513,2246.3011
short,take_profit,61078.4,60650.50989127805,2024-08-20 13:45:00,2024-08-20 19:00:00,0.3272,140.0056,124.0458,2370.3469
long,stop_loss,62968.0,62432.20766220348,2024-08-27 09:15:00,2024-08-27 18:00:00,0.3174,-170.0605,-186.0153,2184.3316
long,stop_loss,56799.7,56468.39835625529,2024-09-05 18:45:00,2024-09-05 20:15:00,0.3519,-116.585,-132.552,2051.7796
long,take_profit,56672.6,57071.58591853341,2024-09-05 21:00:00,2024-09-05 21:30:00,0.3526,140.6824,124.6681,2176.4477
long,stop_loss,53537.7,52997.15135193609,2024-09-07 04:00:00,2024-09-07 04:45:00,0.3733,-201.7868,-217.735,1958.7127
long,take_profit,53236.0,54422.47521844617,2024-09-07 05:15:00,2024-09-07 17:00:00,0.3754,445.4028,429.3259,2388.0386
short,take_profit,63433.3,62741.7322060039,2024-09-20 01:15:00,2024-09-20 06:15:00,0.3151,217.913,201.9663,2590.0049
long,stop_loss,63650.0,63373.9121710763,2024-09-25 19:30:00,2024-09-25 21:30:00,0.314,-86.6916,-102.6631,2487.3418
short,stop_loss,60805.5,60999.49039309854,2024-10-11 15:30:00,2024-10-11 17:45:00,0.3287,-63.7646,-79.7668,2407.575
short,stop_loss,64823.1,65256.97946127468,2024-10-14 18:30:00,2024-10-14 21:45:00,0.3083,-133.765,-149.7798,2257.7952
short,stop_loss,68919.5,69253.72570353527,2024-10-28 21:00:00,2024-10-28 21:45:00,0.29,-96.9255,-112.9342,2144.8611
short,stop_loss,93513.7,94053.92863662085,2024-11-20 20:45:00,2024-11-20 21:15:00,0.2137,-115.4469,-131.4571,2013.404
